code,dL,strip_adj,cong_adj,reinst_adj,total_adj
17-3024.01,1.444848296184068e-05,-0.08186413643530432,0.003534507857101854,0.017142882155444017,-0.06118674642275845
17-3025.00,-6.136673882599979e-05,-1.026845359417241,0.47119367933194933,0.02321885654281841,-0.5324328235424733
17-3026.00,-4.721818592797058e-05,-0.3145835523631231,0.10039067894389753,0.02636042170412667,-0.18783245171509888
17-3026.01,-0.00018553399601935457,-0.5381693641986063,0.16757835259716725,0.024711688247002428,-0.3458793233544366
17-3027.00,-0.00014548123078118337,-0.3711973729772815,0.3081981581272579,0.010677826451217953,-0.052321388398805624
17-3027.01,-0.00011863005728032342,-0.38910894779394223,0.24897445468483959,0.010971396575929049,-0.1291630965331736
17-3029.01,-9.502362395087156e-05,-0.345098332051315,0.14161766262019393,0.014522731501825259,-0.18895793792929583
17-3029.08,-3.8224128745606195e-05,-0.16953311742524635,0.022209696263023826,0.01558746055739757,-0.13173596060482495
19-1011.00,-1.0692230795912782e-05,-2.081397955643686,0.4111727768460487,0.0967572905045393,-1.5734678882930981
19-1012.00,-5.7594185255345736e-05,-1.5252149936434218,0.5119534935988934,0.04498026110329123,-0.9682812389412372
19-1013.00,-7.813377577974297e-05,-1.90532653889302,0.7201804825073537,0.05513385401818649,-1.13001220236748
19-1021.00,-0.0001655967634038337,-1.3647391714313115,0.4317756237048367,0.04883677974225664,-0.8841267679842182
19-1022.00,-9.105434969419503e-05,-1.3925052858922569,0.5296549623861235,0.04377736153025813,-0.8190729619758752
19-1023.00,-8.913200015727559e-05,-1.7493451382218983,0.8275808546446273,0.022306165197015115,-0.8994581183802559
19-1029.01,-0.00028582301801758877,-2.304760831576403,0.4699273911652937,0.12301056173731029,-1.7118228786737992
19-1029.02,-0.0002633438453416485,-1.5670151143922304,0.3036152990744365,0.10572290115276717,-1.1576769141650267
19-1029.03,-0.00024817399410291053,-1.8615952170413712,0.25767670640087736,0.1069796655905455,-1.4969388450499483
19-1029.04,-0.00027726696438478164,-2.0091296113277703,0.5477612685741378,0.08488834088383612,-1.3764800018697967
19-1031.00,-0.00011444448042426586,-1.9336874708339047,0.6478009418381276,0.02824307245745672,-1.2576434565383203
19-1031.02,-9.347631894252246e-05,-1.5452870800854113,0.21259358711995313,0.05972257223867716,-1.272970920726781
19-1031.03,-2.4049262572579076e-05,-0.6016629477853552,0.07072342649663588,0.033772679648945036,-0.4971668416397743
19-1032.00,-3.40879298325807e-05,-0.8953845157026437,0.12342753910203585,0.03687674258158413,-0.7350802340190237
19-1041.00,-5.620118487912442e-05,-1.9735211496003129,1.4097930449585134,0.01631160607846649,-0.547416498563333
19-1042.00,-0.0005559683561917732,-1.6313273199802825,0.4322131092624999,0.08441103705792186,-1.1147031736598607
19-2011.00,-6.95360107128631e-06,-1.5073014773554194,0.22311493744611188,0.10555313626807195,-1.1786334036412356
19-2012.00,-9.426684995291237e-05,-1.4929425791698767,0.632211493104629,0.051476400135868516,-0.8092546859293792
19-2021.00,-4.529749108079792e-05,-1.5553600948875057,0.7001849137318619,0.02101907811116943,-0.8341561030444744
19-2031.00,-0.0002828334128728869,-0.8202627568512537,0.43200434483267447,0.023486011568637277,-0.36477240044994197
19-2032.00,-3.86286963105299e-05,-0.5506355492682493,0.3645224433513601,0.009055583093511288,-0.17705752282337794
19-2041.00,-0.000440723238321919,-2.2860463904199806,1.6820694844621173,0.01991764407303087,-0.5840592618848324
19-2041.01,-0.00040944721289465266,-2.4580170994043202,0.626152382704533,0.07109150443511592,-1.760773212264671
19-2041.02,-0.0004013748170056553,-2.1743160907172374,0.7312339529528225,0.06506555562412997,-1.378016582140285
19-2041.03,-0.00043790334506173197,-1.8804895111375943,1.3508672626693388,0.01604083872832973,-0.5135814097399258
19-2042.00,-0.00012497548547465024,-1.4833525843778324,0.5649779949579394,0.02150359389932799,-0.8968709955205649
19-2043.00,-3.069330276205651e-05,-1.757086996337656,0.7210777991067077,0.041692188704560706,-0.9943170085263877
19-2099.01,-8.462210406456343e-05,-1.304983601390553,0.3900271531155961,0.043540334247855306,-0.8714161140271015
19-3011.00,-8.342869958843341e-05,-2.2637921489795074,0.6739761487459888,0.05149411214070909,-1.5383218880928098
19-3011.01,-9.012658863475644e-05,-2.5699341040882633,1.5511321075309898,0.018302706474332187,-1.0004992900829413
19-3022.00,-4.023988902894111e-05,-2.117443149040459,0.7470207722754312,0.04398710686386664,-1.326435269901161
19-3032.00,-4.29491202117452e-06,-1.6524691478070737,0.2844595756529751,0.12708700440400778,-1.2409225677500908
