soc2018,year,wage_hourly,wage_source,tot_emp,n_soc2000,one_to_one
31-9093,1999,9.699999999999998,H_MEDIAN,29070.0,1,True
31-9094,1999,11.669999999999998,H_MEDIAN,97260.0,1,True
31-9095,1999,8.759999999999998,H_MEDIAN,48270.0,1,True
31-9096,1999,7.599999999999998,H_MEDIAN,53680.0,1,True
33-1011,1999,18.7,H_MEDIAN,28300.0,1,True
33-1012,1999,25.310000000000002,H_MEDIAN,111600.0,1,True
33-1021,1999,23.239999999999995,H_MEDIAN,57300.0,1,True
33-2011,1999,15.799999999999997,H_MEDIAN,252730.0,1,True
33-2021,1999,19.259999999999998,H_MEDIAN,10050.0,1,True
33-2022,1999,12.980000000000006,H_MEDIAN,1630.0,1,True
33-3011,1999,14.13000000000001,H_MEDIAN,12620.0,1,True
33-3012,1999,13.660000000000002,H_MEDIAN,381250.0,1,True
33-3021,1999,22.090000000000003,H_MEDIAN,83340.0,1,True
33-3031,1999,18.050000000000004,H_MEDIAN,8220.0,1,True
33-3041,1999,11.709999999999994,H_MEDIAN,7660.0,1,True
33-3051,1999,18.060000000000002,H_MEDIAN,581860.0,1,True
33-3052,1999,19.72,H_MEDIAN,4590.0,1,True
33-9011,1999,10.620000000000001,H_MEDIAN,8300.0,1,True
33-9021,1999,12.59999999999999,H_MEDIAN,30690.0,1,True
33-9031,1999,9.78,H_MEDIAN,12780.0,1,True
33-9032,1999,8.069999999999999,H_MEDIAN,1088470.0,1,False
33-9091,1999,7.7,H_MEDIAN,68310.0,1,True
33-9093,1999,8.783595263202171,H_MEDIAN,1211750.0,2,False
35-1011,1999,11.879999999999999,H_MEDIAN,118070.0,1,True
35-1012,1999,10.590000000000002,H_MEDIAN,545700.0,1,True
35-2011,1999,6.24,H_MEDIAN,418400.0,1,True
35-2012,1999,7.890000000000001,H_MEDIAN,438660.0,1,True
35-2014,1999,8.050000000000002,H_MEDIAN,656540.0,1,True
35-2015,1999,7.14,H_MEDIAN,163160.0,1,True
35-2021,1999,7.23,H_MEDIAN,878650.0,1,True
35-3011,1999,6.519999999999999,H_MEDIAN,358450.0,1,True
35-3023,1999,6.327384658552232,H_MEDIAN,2358930.0,2,False
35-3031,1999,6.07,H_MEDIAN,2039950.0,1,True
35-3041,1999,7.09,H_MEDIAN,192850.0,1,True
35-9011,1999,6.33,H_MEDIAN,425600.0,1,True
35-9021,1999,6.57,H_MEDIAN,538360.0,1,True
35-9031,1999,6.73,H_MEDIAN,380850.0,1,True
37-1011,1999,10.609999999999998,H_MEDIAN,202460.0,1,True
37-1012,1999,14.310000000000002,H_MEDIAN,91330.0,1,True
37-2011,1999,7.900000000000002,H_MEDIAN,2090560.0,1,True
37-2012,1999,7.029999999999999,H_MEDIAN,913470.0,1,True
37-2021,1999,11.16,H_MEDIAN,40240.0,1,True
