onet_code,aise,rse,job_zone,complementarity
43-5041.00,0.0626304801670146,0.2142857142857142,2.0,0.5433333333333333
43-5051.00,0.0960334029227557,0.3571428571428571,2.0,0.4641666666666666
43-5052.00,0.0605427974947807,0.2857142857142857,2.0,0.4905555555555556
43-5053.00,0.0636743215031315,0.2738095238095238,2.0,0.4597222222222223
43-5061.00,0.7045929018789144,0.8690476190476191,2.0,0.5372222222222223
43-5071.00,0.2912317327766179,0.7380952380952381,2.0,0.5563888888888889
43-5111.00,0.4227557411273486,0.7619047619047619,2.0,0.5030555555555556
43-6011.00,0.8851774530271399,0.7142857142857143,3.0,0.4622222222222223
43-6012.00,0.3622129436325678,0.2976190476190476,3.0,0.4663888888888889
43-6013.00,0.534446764091858,0.4761904761904761,2.0,0.4747222222222222
43-6014.00,0.81419624217119,0.8214285714285714,2.0,0.4422222222222223
43-9021.00,0.5970772442588727,0.8095238095238095,2.0,0.4811111111111111
43-9022.00,0.755741127348643,0.7976190476190477,2.0,0.4238888888888889
43-9031.00,0.7536534446764092,0.7023809523809523,3.0,0.4675
43-9041.00,0.4112734864300626,0.3452380952380952,2.0,0.4347222222222223
43-9051.00,0.1565762004175365,0.2857142857142857,2.0,0.5675
43-9061.00,0.9561586638830898,0.9523809523809524,2.0,0.4438888888888889
43-9071.00,0.2275574112734864,0.3571428571428571,2.0,0.41
43-9081.00,0.8037578288100209,0.7380952380952381,4.0,0.4602777777777777
43-9111.00,0.7849686847599165,0.6666666666666666,4.0,0.523611111111111
43-9199.00,0.907098121085595,0.8214285714285714,,
45-1011.00,0.0615866388308977,0.25,3.0,0.6577777777777779
45-2011.00,0.0772442588726513,0.3095238095238095,2.0,0.5730555555555555
45-2021.00,0.0323590814196242,0.0714285714285714,2.0,0.4888888888888889
45-2041.00,0.1096033402922755,0.4166666666666667,1.0,0.4097222222222222
45-2091.00,0.034446764091858,0.2857142857142857,1.0,0.4563888888888889
45-2092.00,0.0208768267223382,0.25,1.0,0.4525
45-2093.00,0.0281837160751565,0.1785714285714285,2.0,0.5363888888888889
45-2099.00,0.1461377870563674,0.369047619047619,,
45-3031.00,0.0093945720250521,0.119047619047619,1.0,0.5097222222222222
45-4011.00,0.0281837160751565,0.2619047619047619,2.0,0.6013888888888889
45-4021.00,0.0031315240083507,0.0833333333333333,1.0,0.4919444444444445
45-4022.00,0.0177453027139874,0.1666666666666666,1.0,0.5419444444444445
45-4023.00,0.2244258872651357,0.5357142857142857,2.0,0.5666666666666667
45-4029.00,0.6085594989561587,0.8214285714285714,,
47-1011.00,0.05741127348643,0.3333333333333333,3.0,0.7258333333333333
47-1011.03,0.0156576200417536,0.0952380952380952,3.0,0.6655555555555556
47-2011.00,0.0093945720250521,0.0357142857142857,3.0,0.6480555555555556
47-2021.00,0.011482254697286,0.1428571428571428,2.0,0.6025
47-2022.00,0.0031315240083507,0.0952380952380952,3.0,0.5955555555555556
47-2031.00,0.0167014613778705,0.1547619047619047,2.0,0.6255555555555555
47-2041.00,0.0020876826722338,0.0595238095238095,2.0,0.5236111111111111
47-2042.00,0.0041753653444676,0.0952380952380952,2.0,0.5077777777777777
47-2043.00,0.011482254697286,0.1428571428571428,1.0,0.4961111111111111
47-2044.00,0.0052192066805845,0.0833333333333333,2.0,0.4855555555555556
47-2051.00,0.0073068893528183,0.119047619047619,1.0,0.5894444444444445
47-2053.00,0.0041753653444676,0.0714285714285714,2.0,0.4866666666666666
47-2061.00,0.0135699373695198,0.2142857142857142,2.0,0.5483333333333333
47-2071.00,0.011482254697286,0.1309523809523809,2.0,0.5913888888888889
47-2072.00,0.0031315240083507,0.0833333333333333,2.0,0.6533333333333333
47-2073.00,0.0125260960334029,0.119047619047619,2.0,0.6680555555555556
47-2081.00,0.0167014613778705,0.1428571428571428,2.0,0.538888888888889
47-2082.00,0.0093945720250521,0.0714285714285714,2.0,0.4941666666666666
47-2111.00,0.0271398747390396,0.2857142857142857,3.0,0.6488888888888888
47-2121.00,0.0083507306889352,0.119047619047619,2.0,0.6033333333333334
47-2131.00,0.0323590814196242,0.3095238095238095,2.0,0.5219444444444443
47-2132.00,0.0104384133611691,0.1785714285714285,2.0,0.538888888888889
47-2141.00,0.0198329853862212,0.2261904761904762,2.0,0.5441666666666667
47-2142.00,0.0125260960334029,0.119047619047619,2.0,0.485
47-2151.00,0.0062630480167014,0.1071428571428571,2.0,0.6602777777777779
47-2152.00,0.0146137787056367,0.1547619047619047,3.0,0.6186111111111111
47-2152.04,0.0083507306889352,0.0476190476190476,3.0,0.6383333333333333
47-2161.00,0.0167014613778705,0.1428571428571428,1.0,0.5044444444444444
47-2171.00,0.0093945720250521,0.1309523809523809,2.0,0.5991666666666666
47-2181.00,0.0260960334029227,0.1785714285714285,2.0,0.62
47-2211.00,0.0375782881002087,0.3333333333333333,2.0,0.5472222222222223
47-2221.00,0.0135699373695198,0.1666666666666666,2.0,0.6205555555555555
47-2231.00,0.0302713987473903,0.1904761904761904,2.0,0.5375
47-3011.00,0.0605427974947807,0.2976190476190476,2.0,0.5875
47-3012.00,0.127348643006263,0.4285714285714285,2.0,0.6088888888888888
47-3013.00,0.0949895615866388,0.4642857142857143,2.0,0.5383333333333333
47-3014.00,0.0521920668058455,0.3333333333333333,1.0,0.5055555555555556
47-3015.00,0.0720250521920668,0.2857142857142857,2.0,0.4913888888888889
47-3016.00,0.0876826722338204,0.3571428571428571,2.0,0.5702777777777778
47-3019.00,0.290187891440501,0.6547619047619048,,
47-4011.00,0.0636743215031315,0.4166666666666667,3.0,0.6305555555555555
47-4011.01,0.0386221294363256,0.1547619047619047,3.0,0.5725
47-4021.00,0.011482254697286,0.119047619047619,3.0,0.6602777777777779
47-4031.00,0.0073068893528183,0.1071428571428571,2.0,0.6711111111111111
47-4041.00,0.0135699373695198,0.119047619047619,3.0,0.6061111111111112
47-4051.00,0.0501043841336116,0.2261904761904762,2.0,0.6263888888888889
47-4061.00,0.0292275574112734,0.1904761904761904,2.0,0.6666666666666667
47-4071.00,0.011482254697286,0.119047619047619,1.0,0.5713888888888888
47-4091.00,0.0146137787056367,0.1428571428571428,2.0,0.6119444444444445
47-4099.00,0.3392484342379958,0.6904761904761905,,
47-4099.03,0.0354906054279749,0.1904761904761904,2.0,0.5836111111111112
47-5011.00,0.0041753653444676,0.0833333333333333,1.0,0.5983333333333334
47-5012.00,0.0052192066805845,0.0595238095238095,2.0,0.7066666666666667
47-5013.00,0.0031315240083507,0.0595238095238095,2.0,0.6877777777777778
47-5022.00,0.0167014613778705,0.2023809523809523,2.0,0.5694444444444445
47-5023.00,0.0052192066805845,0.1071428571428571,2.0,0.57
47-5032.00,0.0020876826722338,0.0238095238095238,2.0,0.6561111111111111
47-5041.00,0.0104384133611691,0.1309523809523809,2.0,0.5636111111111112
47-5043.00,0.0104384133611691,0.119047619047619,2.0,0.545
47-5044.00,0.011482254697286,0.1071428571428571,2.0,0.5263888888888889
47-5049.00,0.0563674321503131,0.2619047619047619,,
47-5051.00,0.0031315240083507,0.1309523809523809,1.0,0.4258333333333333
47-5071.00,0.0093945720250521,0.0952380952380952,1.0,0.5975
47-5081.00,0.0657620041753653,0.3214285714285714,2.0,0.6444444444444444
47-5099.00,0.8580375782881002,0.8928571428571429,,
49-1011.00,0.2922755741127348,0.8095238095238095,3.0,0.63
49-2011.00,0.3340292275574112,0.5714285714285714,3.0,0.5491666666666667
49-2021.00,0.0396659707724425,0.1428571428571428,3.0,0.58
49-2022.00,0.0594989561586638,0.3095238095238095,3.0,0.5797222222222222
49-2091.00,0.0062630480167014,0.0238095238095238,3.0,0.5588888888888889
49-2092.00,0.0302713987473903,0.4166666666666667,3.0,0.5683333333333334
49-2093.00,0.0396659707724425,0.2976190476190476,3.0,0.6061111111111112
